Original_Comment,Predicted_Sentiment
what a frickin montage bravo icc,negative
zemlak meadows,neutral
pakistanis please apply burnol,neutral
ian smith on mic,neutral
jamir way,neutral
what a editing by editors,negative
hazle crest,neutral
quotthe squeeze is onquot ian smith,neutral
shana common,neutral
abbey prairie,neutral
we need ravi sastri commentry box in every crusial match of icc,neutral
tremendous nail bighting movement for india,positive
historical moments for indian cricket fans,neutral
love you hitman and congratulations team,positive
never getting over this,negative
shirley rapid,neutral
this is cinema for me,positive
world class video editing world class final world class commentary wonderful background music goosebumps,positive
bumrah was the one who gave us hope confidence,positive
shanahan terrace,neutral
greatest edit icc ever made,positive
bhaisahab full goosebumps,neutral
rohit throwing the ball to hardik and virat throwing it to boom boom what an edit goosebumps,positive
rohit sharmas captaincy,neutral
ubaldo landing,neutral
avery route,neutral
india jit gaye every indian had emotional in this moment,neutral
goosebumps everytime when i watched this,positive
still have tear of happiness,positive
when sky took the catch the whole street shouted at the same time even tough even one was in home,neutral
what an edit what a match,positive
thriller movie,neutral
one of the best nail biters,positive
bhai jb vi rohit ka jamen pe hath marte huye dekhta hun lagta hai mai khud world cup jita hun proud feel hota hai bhai,neutral
hardik the unsung hero,positive
absolute goosebumps,positive
this will reman evergreen,neutral
no words for it,negative
sukoon,neutral
finally pak father win world cup,positive
im pakistani but india truely deserve that trophy,positive
i never see highlight like that,neutral
pura match live dhekhne ka ghamand hai,neutral
borer groves,neutral
edmund club,neutral
kuphal inlet,neutral
the moment i saw miller hitting the ball far into the sky i felt my heart drop until i say sky catch it out of no where and i crazy one of the craziest things i saw,positive
vella bypass,neutral
klaasen bhi hame hamesha yaad rahega,neutral
where tf are all the sri lankan and pakistan fans now made fun of ind getting done by aus but when they have more success than them winning another world final theyre silent again,negative
it was so hard to watch this match because the broadcasters make to hard to access their live coverage apparently the weather almost overwhelmef the technical abilities when i watched it live that day and apparently the ability to apply long term scientific weather forecasts to decide what match venues to use is still in baby stages most camera and technical equipment is portable venues are pretty standard in equpment and amenities airplanes move people pretty quickly these days so why not look at long range weather forecasts doppler radars shouldnt be used to adjust start and end times for matches lots of wealthy invested complaining about test cricket fading away why not use modern streamlineanagement techniques in cricket so fewer matches are disrupted by the weather why not stop the crazy broadcasting rights wars that cause fans to get frustrated and walk away,negative
fire the asshat who made this montage your viewers want highlight not some theater majors wet dream,negative
goat final,positive
what a montage icc,neutral
puri tim ki mhent he cap jitna ksi ik nhi,neutral
we did it now i can too anything is possible trust yourself believe in yourself,positive
epic indeed,positive
match of the decade,positive
huels ways,neutral
gulgowski grove,neutral
mccullough court,neutral
alba crescent,neutral
suryas catch was like a relief all that pain of many years was eased that day,positive
great hitman,positive
time for bollywood to have a virat kohli biopic,neutral
virginia crossroad,neutral
my country,neutral
still feeling goosebumps,positive
jassi clean bowled was so classic,positive
whenever i feel low i come hereand everything get normal,neutral
and we won,positive
superb edit sound mix from icc team,positive
l bozo,negative
i will remember axars innings till the last breath of mine,positive
a big hand for our proteas brothers they lost the match but won every heart hold your head high,positive
rohit sharmas celebration gooogsbump,positive
it still feels unreal to this date,negative
rongte khade ho gye fir se dekh yaade taja ho gyi jaise kal hi world cup jite ho,neutral
quotwatching this video felt like oppenheimer just walked into the icc to umpire a cricket matchabsolutely explosive and gamechangingquot,positive
last dance of goat rohit sharma and goat virat kohli,neutral
loonnnnggggg offfffff llloooonnnnggggg offffffff lllloooonnngggg offfff,negative
best moments hai bhai,positive
its always remember in my heart,positive
karma leads to win the trophy hard work by every indian player,positive
i cried for this momentindian team,positive
hey icc can i use this video,neutral
one of the best comeback ever in the world cup final,positive
its still not moving from our blood always india barath mata ki jai,neutral
to all who teared up jai hind,positive
it gives me goosebumps each time i watch highlights of this match,positive
klaasen genuinely played well,positive
both innings should be shown otherwise editing is awesome,positive
the bgm the win the emotions amp the moment,neutral
jai hind vande matram bharat mata ki jai hindustan zindabad incredible india,positive
hardik last ball,neutral
goosebump,neutral
goosepums for life,positive
finally the two goats won together a world cup,positive
nrnbv,neutral
you will still see brazil cricket in play,neutral
it is proud to be indian,positive
axar patel deserves some serious recognition,positive
this world cup final is best final in cricket era but roko last,positive
