Unnamed: 0,Negative_Sentence,Sentiment
230,one of the greatest final i had ever seen,"Positive
"
231,zoila burgs,"Neutral
"
232,we live for these moments,"Positive
"
233,we cried we celebrated and that catch which caught our heart was the most magnificent thing that had ever happened to india just imagining gives goosebumps that one hour which we spent standing just to take the burden upon ourselves was paid off by our indian cricketrs,"Positive
"
234,man of the match is hardik pandey,"Positive
"
235,hardik pandya is the same guy who has been brutally booed by indian fans during iplabsolute clutch playerrespect,"Positive
"
236,lenny dam,"Negative
"
237,rajput,"Neutral
"
238,ruh kap jata h dubra dekhne se,"Negative
"
239,shania burg,"Neutral
"
240,adeline ways,"Neutral
"
241,monahan orchard,"Neutral
"
242,maybell ferry,"Neutral
"
243,emotional scene,"Neutral
"
244,bryana stream,"Neutral
"
245,waelchi lodge,"Neutral
"
246,indian players acted really amazing in ipl noone showed their true form all their skills power and form they kept under wraps and ipl finished from rohit to siraj kuldeep all starting xi they perofmed at the peak of their carrer for india till final,"Negative
"
247,hardik real hero,"Positive
"
248,what is goose bump watch this video the day which never forgotten,"Positive
"
249,feeling bad for south africa specially for decock and claseen but india win its the crazy moment,"Neutral
"
250,please uplod the final,"Neutral
"
251,even when we lose its not so bad we laugh about it and plan our next strategy,"Positive
"
252,block locks,"Neutral
"
253,bumrah ki dot bowling aur hardin ka wicket lena india ko match jitayaa,"Positive
"
254,we are so lucky being witness of last three wc finals,"Positive
"
255,no words for editing just,"Please provide the text.
"
256,schumm crossroad,"Neutral
"
257,anjali valley,"Neutral
"
258,bapu ka baldla,"Neutral.
"
259,brown tunnel,"Neutral
"
260,congratulations pakistan your father win th world cup,"Positive
"
261,this is actually what the meaning of quotwc final match quotis,"Neutral
"
262,every minute are goosebumps,"Positive
"
263,its not surya its not kholi its not hardik its not bumrah itzzz pant the break game changer luv you india,"Positive
"
264,trailer of winning movie,"Positive
"
265,memories for life,"Positive
"
266,virat kohli quotthe saviorquot,"Positive
"
267,never forget these moments in our lives well done india,"Positive
"
268,jcggc,"Neutral
"
269,it still feels like a dream,"Positive
"
270,still get tears in eyes when you see this,"Positive
"
271,absolutely cinematic everytime i witness this i get goosebumps,"Positive
"
272,can someone tell me why rishabh pants moment is important,"Neutral
"
273,anyone after dipression,"Negative
"
274,waited for this movement in my whole teen ages,"Positive
"
275,best moment of my life,"Positive
"
276,it a cry moment,"Negative
"
277,example of quotbowlers win you tournamentquot,"Positive
"
278,virathardik and boom is hero of this dream finale,"Positive
"
279,never give up,"Positive
"
280,men came back men watched the video men remembered the moment men shed some drops of tears of joy,"Positive
"
281,how many times will you watch it,"Neutral
"
282,i am proud to be indian,"Positive
"
283,still cant believe how india managed to stop klaasen on song,"Negative
"
284,moment of the decade,"Positive
"
285,jazmin extensions,"Neutral
"
286,thank god abb dhoni ko abb yaad nhi karna padega,"Positive
"
287,pakistan walo baap bolo india ko,"Negative
"
288,these are the moments i live foroh man that was pure wholesome,"Positive
"
289,sa the greatest chokers of all time,"Negative
"
290,and that voice of harsha bhogle sirfor generations,"Positive
"
291,very good editing,"Positive
"
292,i am still cryingafter watching this movement,"Negative
"
293,what a final,"Positive
"
294,conroy dam,"Neutral
"
295,remember the name henric klassen and killer miller,"Negative
"
296,feest center,"Neutral
"
297,why i am crying,"Negative
"
298,icc also knows the importance of risabh pants injury before the that hardik over,"Negative
"
299,weimann forge,"Neutral
"
0,surya bhau mere sare jameen jaedad tere naam,"Positive
"
1,long off long off,"Neutral
"
2,this editing is way way better than indian serials lol,"Positive
"
3,filiberto underpass,"Neutral
"
4,abbba jit gye,"Positive
"
5,whenever i feel low i come to see this goosebumps,"Positive
"
6,jones larry johnson richard wilson carol,"Neutral
"
7,jakubowski stravenue,"Neutral
"
8,stehr orchard,"Neutral
"
9,an absolute cinema,"Positive
"
10,herminia vista,"Neutral
"
11,i join the history part on my comment,"Neutral
"
12,long off long off long off suryakumar suryakumar yaduav nepadkha ha ligeka sb se age tum bolo,"Neutral
"
13,baap jitt gya ab bete ki bari champions trophy go pakistan,"Positive
"
14,this is amazing and at the same time its beautiful and emotional thanks icc for this video,"Positive
"
15,hailey land,"Neutral
"
16,this is indeed quotan epic montagequot,"Positive
"
17,medhurst heights,"Neutral
"
18,coz of bcci richer then icc thats way to be honest i also indian but this world cup south africa deserve to win cheat keya icc ne,"Negative
"
19,cheat keya,"Negative
"
20,moment history,"Neutral
"
21,aj bhi dekh k goosebumps aarhe h,"Positive
"
22,still can experience the goosebumps such a cliffhanger it was,"Positive
"
23,its not highlight its a movie,"Neutral
"
24,that break from rohit was crucial that was where klassen lost his momentum whenever things dont go by ur way take a break,"Neutral
"
25,mahendra singh dhoni captaincy,"Neutral
"
26,pouros valleys,"Neutral
"
27,icc just deleat this one,"Negative
"
28,ivory locks,"Neutral
"
29,for me this win was bitter sweet i was happy that india won the match but i felt bad for south africa,"Neutral
"
30,golden commentery from jatin ek aakhri mauka hardik pandyalong offlong offlong offffffff surya kumar yadav surya kumar yadav ne pakda hai apne career ka sabse important catch ek low full toss david miller ka wicket hardik pandya jarur umpire check krna chahenge lekin aakho ke theek neeche ye mamla saaf dikha ye umeeden barkaraar dikhi ye final giraft me dikha,"Positive
"
31,you f that supports india always,"Negative
"
32,gay creek,"Neutral
"
33,aaj bhi ye moment dekh kr aakho me aasu aajata h,"Negative
"
34,remember once a legend said quot that one percent chance is enoughquot aur yaha to ek percent se jyada ka chance thakaise kuch nhi hota,"Positive
"
35,but indian break this team,"Negative
"
36,virat kohli s classy innings and skys catch of the millennium,"Positive
"
37,i have watched this hundred of times but it still gives goosebumps,"Positive
"
38,virat kohli ne pehle over mein hi match jeeta diya tha,"Positive
"
39,powlowski loaf,"Neutral
"
40,i am still stuck here,"Negative
"
41,perfect catch by surya dada,"Positive
"
42,rula diya yrr,"Negative
"
43,this moment is all that have been dreaming of somewhere i feel it in my soul in my soul one chance is everything we waited for its our time so let me take it home and knock out of this world,"Positive
"
44,ratke rapid,"Neutral
"
45,no matter how many time we watch it was just,"Positive
"
46,are we just wanna keep watching this over and over and not acknowledge how good ian smiths commentary is,"Positive
"
47,absdolute cinema,"Positive
"
48,sky and ian smith will be remembered for centuries to come this catch would be incomplete without that sweet commentary,"Positive
"
49,i am not crying theres something in my eye,"Neutral
"
50,goosebumps guarantee everytime my sister in law was battling with cancer she was in icu saw this on a cell phone in the waiting room tears trickled down my eyes when surya took that catch four days later she succumbed to cancer such a bitter sweet memory,"Negative
"
51,congratulations pakistan aapke abbu jeet gye,"Positive
"
52,whenever i watch this i always have tears in my eyes love thanks ict for giving us another decade of memories,"Positive
"
53,damore pike,"Neutral
"
54,king stood tall once again,"Positive
"
55,pakistan be likequotabbu wc jeet gye,"Positive
"
56,conroy pike,"Neutral
"
57,what a a match in icc cricket history this is the incredible match this is the magic of india indiaindia,"Positive
"
58,memorable moment for us,"Positive
"
59,goosebumps and tears,"Neutral
"
60,goose bumps,"Neutral
"
61,kuphal springs,"Neutral
"
62,itne mahine hogye lekin still got so emotional everytime i see this,"Neutral
"
63,that daywhat a day,"Neutral
"
64,editing on steroids,"Positive
"
65,before icc international cc now icc india cc,"Neutral
"
66,yesssssssssssssss,"Positive
"
67,he is not lucky they get the commentators of the winning teams in the final overs remeber the name,"Negative
"
68,thank you icc,"Positive
"
69,this is called strugle someone said right sabar ka faal mitha hota hai,"Neutral.
"
70,hettinger fort,"Neutral
"
71,live dekhne ka ghamand hai,"Negative
"
72,thompson wall,"Neutral
"
73,what quality of the video its mind boggling,"Positive
"
74,jailyn squares,"Neutral
"
75,i think hanuman kind look like quentin decock,"Neutral
"
76,bumrah is too tough mentally man,"Positive
"
77,clara parkways,"Neutral
"
78,what a incredible video this is out of the world,"Positive
"
79,great victory for,"Positive
"
80,a champion team,"Positive
"
81,first time in the history that father telling their son dont follow me and dont do what i have done,"Negative
"
82,casper dale,"Neutral
"
83,love u india and tanks,"Positive
"
84,kids are happy with lolipopop meanwhile real champions australians own the real worldcup,"Negative
"
85,kariane forge,"Neutral
"
86,ulises stream,"Neutral
"
87,hillard hill,"Neutral
"
88,jordi turnpike,"Neutral
"
89,kings kohli,"Neutral
"
90,hudson lakes,"Neutral
"
91,what a frickin montage bravo icc,"Positive
"
92,zemlak meadows,"Neutral
"
93,pakistanis please apply burnol,"Negative
"
94,ian smith on mic,"Neutral
"
95,jamir way,"Neutral
"
96,what a editing by editors,"Neutral
"
97,hazle crest,"Neutral
"
98,quotthe squeeze is onquot ian smith,"Negative
"
99,shana common,"Neutral
"
100,abbey prairie,"Neutral
"
101,we need ravi sastri commentry box in every crusial match of icc,"Positive
"
102,tremendous nail bighting movement for india,"Positive
"
103,historical moments for indian cricket fans,"Positive
"
104,love you hitman and congratulations team,"Positive
"
105,never getting over this,"Negative
"
106,shirley rapid,"Neutral
"
107,this is cinema for me,"Positive
"
108,world class video editing world class final world class commentary wonderful background music goosebumps,"Positive
"
109,bumrah was the one who gave us hope confidence,"Positive
"
